train_no,train_name,type_code
12075,Kozhikode-Trivandrum Jan Shatabdi Express,SHT-TRAINS
12076,Trivandrum-Kozhikode Jan Shatabdi Express,SHT-TRAINS
12078,Vijayawada Chennai Jan Shatabdi,SHT-TRAINS
12079,Bangalore City-Hubli Jan Shatabdi,SHT-TRAINS
12080,Hubli Bangalore Janshatabdi,SHT-TRAINS
12081,Kozhikode - Trivandrum Jan Shatabdi,SHT-TRAINS
12082,Trivandrum-Kozhikode Jan Shatabdi,SHT-TRAINS
12101,MUMBAI LTT - HOWRAH Janeswari Super Deluxe Exp,SF-TRAINS
12102,HOWRAH - MUMBAI LTT Janeswari Super Deluxe Exp,SF-TRAINS
12103,Pune Lucknow Jn SuperFast Express,SF-TRAINS
12104,Lucknow Jn - Pune Express,SF-TRAINS
12105,Vidarbha Express,SF-TRAINS
12106,Vidarbha Express,SF-TRAINS
12109,Panchavati Express,SF-TRAINS
12111,Mumbai CST-Amaravati SF Express,SF-TRAINS
12112,Amaravati-Mumbai CST Express,SF-TRAINS
12113,Pune-Nagpur Garib Rath Express,GRB-TRAINS
12114,Nagpur-Pune Garib Rath,GRB-TRAINS
12115,Siddheshwar Express,SF-TRAINS
12116,Siddheshwar Express,SF-TRAINS
12117,Mumbai LTT- Manmad Express,SF-TRAINS
12119,Amaravati Nagpur Express,SF-TRAINS
12120,Nagpur Amravati Express,SF-TRAINS
12122,DELHI H NIZAMUDDIN - JABALPUR S Kranti Exp,EXP-TRAINS
12135,Pune -Nagpur SuperFast Express,SF-TRAINS
12136,Nagpur Pune Express,SF-TRAINS
12137,Punjab Mail,SF-TRAINS
12138,Punjab Mail,SF-TRAINS
12139,Sevagram Express,SF-TRAINS
12139-Slip,Sewagram Express Slip,SF-TRAINS
12140,Sevagram Express,SF-TRAINS
12143,LTT Sultanpur Superfast Weekly Express,SF-TRAINS
12144,Sultanpur-LTT Weekly SF Express,SF-TRAINS
12148,Nizamuddin-Kolhapur Express,SF-TRAINS
12161,Lashkar Superfast Express,SF-TRAINS
12162,Lashkar Express,SF-TRAINS
51817,Agra Fort Bandikui Pass,PASS-TRAINS
12123,Deccan Queen SF Express,SF-TRAINS
12124,Deccan Queen SF Express,SF-TRAINS
12125,Pragati Superfast Express,SF-TRAINS
12126,Pragati Superfast Express,SF-TRAINS
12127,MumbaiCST-Pune SF InterCity,SF-TRAINS
12128,Pune-MumbaiCST Intercity Express,SF-TRAINS
12129,PUNE - HOWRAH Azad Hind SF Exp,SF-TRAINS
12130,HOWRAH - PUNE Azad Hind SF Exp,SF-TRAINS
12131,Mumbai Dadar-Sainagar Shirdi Express,SF-TRAINS
12132,Sainagar Shirdi-Mumbai Dadar Express,SF-TRAINS
12133,MUMBAI CST - MANGALORE Exp,SF-TRAINS
12134,MANGALORE - MUMBAI CST Exp,SF-TRAINS
12141,MUMBAI LTT - PATLIPUTRA SF Exp,SF-TRAINS
12145,MUMBAI LTT - PURI SF Exp,SF-TRAINS
12147,Kolhapur-Nizamuddin Express,SF-TRAINS
12149,PUNE - PATLIPUTRA SF Exp,SF-TRAINS
12150,PATLIPUTRA - PUNE SF Exp,SF-TRAINS
12151,MUMBAI LTT - HOWRAH Samarsata SF Exp,SF-TRAINS
12152,HOWRAH - MUMBAI LTT Samarsata SF Exp,SF-TRAINS
12153,Lokmanya Tilak (T) Habibganj Express,SF-TRAINS
12154,Habibganj LTT Superfast Express,SF-TRAINS
12155,Shaan-e-Bhopal Express,SF-TRAINS
12156,Shaan E Bhopal SF Express,SF-TRAINS
12157,Hutatma Express,SF-TRAINS
12158,Hutatma Express,SF-TRAINS
12159,Amravati -Jabalpur Express,SF-TRAINS
12160,Jabalpur - Amravati Express,SF-TRAINS
12166,VARANASI - MUMBAI LTT Ratnagiri SF Exp,SF-TRAINS
12167,MUMBAI LTT - VARANASI SF Exp,SF-TRAINS
12168,VARANASI - MUMBAI LTT SF Exp,SF-TRAINS
12169,Pune Solapur InterCity Express,SF-TRAINS
12170,Solapur Pune Intercity Express,SF-TRAINS
12171,Mumbai LTT -Haridwar AC Express,SF-TRAINS
12172,Haridwar-Mumbai LTT AC Express,SF-TRAINS
12173,Udyog Nagri Express,SF-TRAINS
12174,Udyog Nagri Express,SF-TRAINS
12177,Chambal Express,SF-TRAINS
12178,Chambal Express,SF-TRAINS
12183,Bhopal Partapgarh Express,SF-TRAINS
12184,Pratapgarh-Bhopal Express,SF-TRAINS
12185,BHOPAL HABIBGANJ - REWA Rewanchal Exp,SF-TRAINS
12186,REWA - BHOPAL HABIBGANJ Rewanchal Exp,SF-TRAINS
12187,Jabalpur-CST Garib Rath Express,GRB-TRAINS
12188,Mumbai-Jabalpur Garib Rath Express,GRB-TRAINS
12194,Partapgarh Bhopal SuperFast Express,SF-TRAINS
12195,Agra Fort - Ajmer Express,SF-TRAINS
12196,Ajmer-Agra Fort Express,SF-TRAINS
53444,Bhagalpur Mandar Hill Passenger,PASS-TRAINS
12176,Chambal Express,SF-TRAINS
12179,Lucknow Agra Intercity SF Express,SF-TRAINS
12180,Agra Lucknow Intercity SF Express,SF-TRAINS
12190,DELHI H NIZAMUDDIN - JABALPUR Mahakoshal SF Exp,SF-TRAINS
12191,Shridham Express,SF-TRAINS
12192,Jabalpur-New Delhi Superfast Express,SF-TRAINS
12197,Bhopal Gwalior InterCity Express,SF-TRAINS
12198,Gwalior Bhopal InterCity Express,SF-TRAINS
12201,MUMBAI LTT - KOCHUVELI Garib Rath Exp,GRB-TRAINS
12202,KOCHUVELI - MUMBAI LTT Garib Rath Exp,GRB-TRAINS
12203,Saharsa Amritsar Garib Rath,GRB-TRAINS
12204,Amritsar Saharsa Garib Rath,GRB-TRAINS
12205,New Delhi-Dehradun AC Express,SF-TRAINS
12206,Dehradun-NewDelhi AC Express,SF-TRAINS
12207,Kathgodam-Jammu Garib Rath Express,GRB-TRAINS
12208,Jammu-Kathgodam Garib Rath Express,GRB-TRAINS
12209,Kanpur-Kathgodam Garib Rath,GRB-TRAINS
12210,Kathgodam-Kanpur Garib Rath,GRB-TRAINS
12211,Muzaffarpur-Anand Vihar(T) Garib Rath Exp.,GRB-TRAINS
12212,Anand Vihar T.- Muzaffarpur Garib Rath,GRB-TRAINS
12213,Yeswantpur-Delhi Sarai Rohilla AC Duronto Express,PRM-TRAINS
12214,Delhi Sarai Rohilla-Yesvantpur AC Duronto Express,PRM-TRAINS
12215,Delhi Sarai Rohilla-Mumbai BandraT Garib Rath,GRB-TRAINS
12216,Mumbai Bandra T. - Delhi Sarai Rohilla Garib Rath,GRB-TRAINS
12217,KOCHUVELI - CHANDIGARH Kerala Sampark Kranti Exp,EXP-TRAINS
12218,CHANDIGARH - KOCHUVELI Kerala Sampark Kranti Exp,EXP-TRAINS
12219,Lokmanya Tilak (T)-Secunderabad AC Duronto Express,PRM-TRAINS
12220,Secunderabad-Mumbai LTT AC Duronto Express,PRM-TRAINS
12222,HOWRAH - PUNE AC Duronto Exp,PRM-TRAINS
12223,MUM LTT - ERNAKULAM AC Duronto,PRM-TRAINS
12224,ERNAKULAM - MUM LTT AC Duronto,PRM-TRAINS
12225,Kaifiat Express,SF-TRAINS
12226,Kaifiat Express,SF-TRAINS
12228,Indore- Mumbai Central Duronto Express,PRM-TRAINS
12229,Lucknow Mail,SF-TRAINS
